Restaurant ID,Restaurant Name,City,Cuisines,Average Cost for two,Price range,Aggregate rating,Votes,Latitude,Longitude,CostBucket,Rating
6317637,Le Petit Souffle,Makati City,french,1100,3,4.8,314,14.565443,121.027535,high,4.8
6304287,Izakaya Kikufuji,Makati City,japanese,1200,3,4.5,591,14.553708,121.014101,high,4.5
6300002,Heat - Edsa Shangri-La,Mandaluyong City,seafood,4000,4,4.4,270,14.581404,121.056831,high,4.4
6318506,Ooma,Mandaluyong City,japanese,1500,4,4.9,365,14.585318,121.056475,high,4.9
6314302,Sambo Kojin,Mandaluyong City,japanese,1500,4,4.8,229,14.58445,121.057508,high,4.8
18189371,Din Tai Fung,Mandaluyong City,chinese,1000,3,4.4,336,14.583764,121.056314,high,4.4
6300781,Buffet 101,Pasay City,asian,2000,4,4.0,520,14.53133333,120.9796667,high,4.0
6301290,Vikings,Pasay City,seafood,2000,4,4.2,677,14.54,120.9793333,high,4.2
6300010,Spiral - Sofitel Philippine Plaza Manila,Pasay City,european,6000,4,4.9,621,14.55299,120.98009,high,4.9
6314987,Locavore,Pasig City,filipino,1100,3,4.8,532,14.572041,121.056532,high,4.8
6309903,Silantro Fil-Mex,Pasig City,filipino,800,3,4.9,1070,14.567689,121.057916,high,4.9
6309455,Mad Mark's Creamery & Good Eats,Pasig City,american,900,3,4.2,488,14.570849,121.06082,high,4.2
6318433,Silantro Fil-Mex,Quezon City,filipino,800,3,4.8,294,14.649503,121.075419,high,4.8
6310470,Guevarra's,San Juan City,filipino,1000,3,4.2,458,14.59345,121.0335917,high,4.2
6314605,Sodam Korean Restaurant,San Juan City,korean,700,3,4.3,223,14.59889,121.03811,medium,4.3
18185059,Cafe Arabelle,Santa Rosa,cafe,800,3,3.6,29,14.237082,121.05704,high,3.6
18182702,Nonna's Pasta & Pizzeria,Santa Rosa,italian,850,3,4.0,72,14.23767897,121.0565874,high,4.0
6318213,Balay Dako,Tagaytay City,filipino,1200,3,4.5,211,14.101834,120.951589,high,4.5
18255654,Hobing Korean Dessert Cafe,Taguig City,cafe,600,2,4.5,118,14.55436,121.045878,medium,4.5
6308205,Wildflour Cafe + Bakery,Taguig City,cafe,1500,4,4.4,392,14.549337,121.04622,high,4.4
6315438,NIU by Vikings,Taguig City,seafood,3000,4,4.7,535,14.545858,121.053725,high,4.7
6310406,The Food Hall by Todd English,Taguig City,american,1800,4,4.5,618,14.54565535,121.0534998,high,4.5
6600681,Chez Michou,Brasí_lia,fast food,55,2,3.0,6,-15.76414167,-47.88178889,low,3.0
6601005,Cafí© Daniel Briand,Brasí_lia,cafe,30,1,3.8,9,-15.7775,-47.88266667,low,3.8
6600292,Casa do Biscoito Mineiro,Brasí_lia,bakery,45,2,3.7,11,-15.75747222,-47.88213611,low,3.7
6600441,Maori,Brasí_lia,brazilian,60,3,3.8,11,-15.75883333,-47.88816667,low,3.8
6600970,Pizza íæ Bessa,Brasí_lia,pizza,50,2,3.2,11,-15.83116667,-47.91566667,low,3.2
6600379,Sushi Loko,Brasí_lia,japanese,80,3,3.1,10,-15.831,-47.91566667,low,3.1
6600214,Beirute,Brasí_lia,arabian,90,3,3.7,8,-15.82,-47.9075,low,3.7
6601218,New Koto,Brasí_lia,japanese,200,4,3.7,5,-15.82733333,-47.91016667,low,3.7
6600060,Sandubas Cafí©,Brasí_lia,brazilian,30,1,0.0,2,-15.797,-47.89016667,low,0.0
6600083,Villa Tevere,Brasí_lia,italian,150,4,4.1,12,-15.83133333,-47.92366667,low,4.1
6601515,Rovereto,Brasí_lia,pizza,100,4,3.1,9,-15.83716667,-48.019,low,3.1
6601361,Buena Carne,Brasí_lia,bar food,60,3,3.6,9,-15.839775,-48.01909167,low,3.6
6601602,Taco Pep,Brasí_lia,mexican,100,4,4.3,29,-15.83483333,-48.01666667,low,4.3
6601589,Coco Bambu,Brasí_lia,international,230,4,4.2,17,-15.7865,-47.889,low,4.2
6601862,Taypíç,Brasí_lia,peruvian,100,4,3.6,5,-15.860621,-47.872359,low,3.6
6601595,Outback Steakhouse,Brasí_lia,american,150,4,4.0,10,-15.83451389,-47.95628333,low,4.0
6601158,Manzuíç,Brasí_lia,seafood,240,4,3.2,6,-15.82566667,-47.87283333,low,3.2
